uid,movie_title,movie_director,movie_sumary,movie_rating,movie_gender,movie_duration,movie_year,movie_host_uid
76,Clue,Jonathan Lynn,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",7.3,"Comedy, Crime, Mystery",1h 34min,1985,imdb
77,The Man Who Would Be King,John Huston,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",7.8,"Adventure, History, War",2h 9min,1975,imdb
78,Honest Thief,Mark Williams,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",6.1,"Action, Crime, Drama",1h 39min,2020,imdb
79,Sleepy Hollow,Tim Burton,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.",7.3,"Fantasy, Horror, Mystery",1h 45min,1999,imdb
80,The Cabin in the Woods,Drew Goddard,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",7.0,Horror,1h 35min,2011,imdb
81,The Midnight Sky,George Clooney,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",NC,"Drama, Fantasy, Sci-Fi",NC,2020,imdb
82,After: Aquí empieza todo,Jenny Gage,"A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by , .",5.3,"Drama, Romance",1h 45min,2019,imdb
83,The Exorcist,William Friedkin,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",8.0,Horror,2h 2min,1973,imdb
84,Guasón,Todd Phillips,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.5,"Crime, Drama, Thriller",2h 2min,2019,imdb
85,Stardust,Gabriel Range,Stardust will chronicle the young David Bowies first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.,4.0,Drama,1h 49min,2020,imdb
86,Avengers: Endgame,"Anthony Russo', 'Joe Russo","After the devastating events of ,  (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos actions and restore balance to the universe.",8.4,"Action, Adventure, Drama",3h 1min,2019,imdb
87,Between Earth and Sky,Veena Sud,"A father and daughter are on their way to dance camp when they spot the girls best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",5.8,"Crime, Drama, Horror",1h 37min,2018,imdb
88,Easy A,Will Gluck,A clean-cut high school student relies on the schools rumor mill to advance her social and financial standing.,7.0,"Comedy, Drama, Romance",1h 32min,2010,imdb
89,The Silence of the Lambs,Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,"Crime, Drama, Thriller",1h 58min,1991,imdb
90,The Lighthouse,Robert Eggers,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.,7.5,"Drama, Fantasy, Horror",1h 49min,2019,imdb
91,Sinister,Scott Derrickson,Washed-up true crime writer Ellison Oswalt finds a box of super 8 home movies in his new home that suggest the murder that he is currently researching is the work of a serial killer whose work dates back to the 1960s.,6.8,"Horror, Mystery, Thriller",1h 50min,2012,imdb
92,El conjuro,James Wan,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,7.5,"Horror, Mystery, Thriller",1h 52min,2013,imdb
93,Operación Trueno,Terence Young,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,7.0,"Action, Adventure, Thriller",2h 10min,1965,imdb
94,The Kids Are All Right,Lisa Cholodenko,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,7.0,"Comedy, Drama, Romance",1h 46min,2010,imdb
95,Antebellum,"Gerard Bush', 'Christopher Renz",Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before its too late.,5.5,"Drama, Horror, Mystery",1h 45min,2020,imdb
96,Huye,Jordan Peele,"A young African-American visits his white girlfriends parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",7.7,"Horror, Mystery, Thriller",1h 44min,2017,imdb
97,Dune,Denis Villeneuve,"Feature adaptation of Frank Herberts science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",NC,"Adventure, Drama, Sci-Fi",NC,2021,imdb
98,The Suicide Squad,James Gunn,Plot is unknown.,NC,"Action, Adventure, Fantasy",NC,2021,imdb
99,The Shawshank Redemption,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3,Drama,2h 22min,1994,imdb
100,A Nightmare on Elm Street,Wes Craven,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,7.5,Horror,1h 31min,1984,imdb
